quality_score,wine_type,alcohol,citric_acid,density,ph,residual_sugar,total_sulfur_dioxide,fixed_acidity
7.94,white,12.9,0.33,0.98896,3.17,2.9,73.0,5.6
5.53,white,9.0,0.31,1.0002,3.13,17.3,197.0,7.3
5.99,white,9.0,0.28,0.9949,3.27,5.4,105.0,6.7
7.86,red,10.9,0.2,0.9955,3.36,2.0,60.0,7.7
6.84,white,10.8,0.32,0.9938,3.2,5.9,152.0,6.8
7.33,red,10.1,0.21,0.99556,3.4,2.4,69.0,7.0
6.61,white,10.9,0.28,0.99469,3.11,10.2,115.0,6.7
5.23,white,9.2,0.26,0.99838,3.04,14.95,178.0,7.5
7.53,white,9.7,0.69,0.9931,3.06,1.3,171.0,6.8
5.8,red,9.6,0.08,0.99529,3.12,1.8,64.0,6.8
8.75,red,10.0,0.66,0.9992,3.05,2.5,37.0,11.9
8.39,red,12.8,0.0,0.99378,3.71,2.2,11.0,5.6
8.21,red,12.3,0.02,0.9955,3.58,2.7,34.0,6.6
5.65,white,9.2,0.26,0.9965,3.25,8.3,180.0,6.9
8.26,white,12.8,0.3,0.98869,3.34,1.1,110.0,5.5
7.72,white,10.1,0.29,0.9932,3.35,1.3,64.0,7.7
4.56,white,8.8,0.27,0.99742,3.04,10.3,219.0,6.6
8.01,red,10.2,0.3,0.9972,3.4,2.1,50.0,8.3
8.21,red,11.7,0.07,0.99598,3.6,2.0,57.0,6.7
7.7,white,12.6,0.15,0.9903,3.3,2.0,87.0,7.2
7.93,white,10.4,0.35,0.9941,3.41,1.5,128.0,7.0
5.75,white,9.0,0.42,0.9932,3.02,1.1,197.0,6.0
7.54,white,11.4,0.33,0.9939,3.2,6.7,138.0,7.5
8.38,white,13.2,0.31,0.98964,3.46,2.7,100.0,5.6
6.68,white,11.1,0.2,0.99324,3.12,6.6,65.0,6.8
6.91,white,10.6,0.34,0.99497,3.08,6.7,162.0,9.0
7.74,red,10.6,0.25,0.99633,3.42,2.3,58.0,6.1
7.58,white,12.8,0.18,0.99018,3.34,3.5,109.0,6.3
6.43,white,10.8,0.16,0.99564,3.4,12.55,115.0,5.4
7.15,white,10.1,0.4,0.99204,3.32,1.2,124.0,5.0
8.07,red,11.0,0.24,0.9993,3.06,2.5,53.0,11.2
8.58,white,13.0,0.4,0.98926,3.19,1.2,84.0,6.1
7.73,white,10.9,0.37,0.9924,3.16,1.6,94.0,7.2
7.09,white,11.1,0.33,0.99268,3.25,7.4,95.0,5.6
6.83,white,10.5,0.36,0.9944,3.01,6.8,90.0,8.2
6.89,red,9.5,0.21,0.9961,3.33,2.0,35.0,7.3
7.29,white,10.5,0.3,0.9928,3.29,1.9,153.0,6.6
5.92,white,9.4,0.17,0.99803,3.47,8.8,212.0,6.3
7.66,white,12.0,0.32,0.98978,3.07,1.2,94.0,7.3
6.46,white,9.7,0.34,0.9944,3.2,4.0,128.0,6.9
6.1,white,9.6,0.31,0.9979,3.26,15.7,179.0,6.7
6.02,red,9.1,0.13,0.9984,3.17,2.9,63.0,8.3
6.65,red,10.3,0.06,0.99489,3.38,2.0,44.0,6.5
6.51,red,9.5,0.04,0.99525,3.42,1.5,10.0,6.8
7.1,red,10.0,0.08,0.9956,3.4,2.0,19.0,7.0
6.65,white,10.4,0.26,0.9944,3.13,7.8,90.0,7.7
7.11,red,10.8,0.06,0.9962,3.41,6.0,18.0,6.8
7.01,red,10.0,0.15,0.99604,3.23,2.1,32.0,7.7
6.22,red,9.3,0.02,0.9972,3.44,2.5,42.0,7.2
8.08,red,10.8,0.1,0.99736,3.58,2.4,33.0,7.4
6.84,white,10.2,0.26,0.997,3.25,9.0,132.0,7.8
6.35,white,9.9,0.3,0.9937,3.2,2.25,210.0,6.4
6.29,white,10.8,0.21,0.99384,3.15,6.7,157.0,6.6
7.4,white,10.6,0.42,0.9959,3.17,7.1,169.0,8.0
6.83,white,13.6,0.23,0.99164,2.93,10.8,95.0,7.7
5.56,white,9.2,0.24,0.99626,3.2,8.5,151.0,7.2
8.01,white,11.8,0.49,0.9958,3.14,14.0,156.0,7.6
6.81,red,9.3,0.31,0.99625,3.29,1.8,120.0,7.8
6.03,red,9.2,0.22,0.99499,3.1,1.8,60.0,7.5
6.35,white,8.8,0.68,0.9978,2.99,11.0,133.0,7.5
7.87,white,11.3,0.33,0.99048,3.37,1.2,122.0,5.4
9.81,red,11.9,0.45,0.99552,3.41,1.8,21.0,8.9
5.72,white,9.0,0.34,0.9973,3.16,12.2,146.0,7.4
7.09,white,11.3,0.47,0.99184,2.92,4.1,163.0,7.5
6.1,white,9.3,0.3,0.9946,3.31,4.6,101.0,5.7
8.8,red,11.6,0.44,0.99484,3.29,2.4,34.0,6.7
8.25,white,12.2,0.54,0.99267,3.26,7.9,169.0,6.9
7.05,white,9.3,0.6,0.9927,3.12,1.1,144.0,6.6
8.05,red,9.5,0.49,0.9982,3.3,2.8,111.0,8.8
7.88,white,11.2,0.4,0.9921,3.12,2.0,87.0,8.1
6.21,white,9.5,0.44,0.9968,3.18,11.6,195.0,6.3
6.31,white,10.1,0.24,0.9923,3.0,1.0,119.0,7.0
5.87,white,8.9,0.5,0.9974,3.04,12.1,127.0,6.7
6.32,white,9.5,0.43,0.9969,3.26,11.75,198.0,6.8
7.14,red,10.8,0.09,0.99655,3.35,5.5,17.0,6.6
7.17,white,10.6,0.28,0.98985,3.13,0.7,28.0,5.9
7.62,white,12.5,0.44,0.99124,2.96,6.5,126.0,7.9
7.31,white,11.1,0.34,0.9923,3.1,2.6,125.0,7.5
7.56,red,9.8,0.38,0.99726,3.15,2.5,66.0,9.8
6.87,red,8.8,0.5,1.00242,3.16,13.8,82.0,9.9
6.01,white,9.3,0.49,0.9953,3.19,6.8,222.0,6.0
9.32,red,11.5,0.39,0.9989,3.37,3.2,59.0,9.8
6.67,white,11.3,0.29,0.99143,3.0,3.1,122.0,7.2
5.26,white,9.3,0.22,0.99853,3.12,17.45,151.0,6.3
7.91,white,12.9,0.3,0.989,3.32,2.2,129.0,5.8
5.3,white,9.3,0.06,0.9932,3.32,2.7,79.0,5.1
7.46,white,10.8,0.36,0.99201,3.22,2.5,73.0,5.9
8.83,red,10.2,0.63,0.9988,2.99,2.0,15.0,12.5
6.31,white,9.2,0.49,0.9956,3.24,7.3,206.0,6.4
7.03,white,9.9,0.38,0.9924,3.14,1.2,124.0,7.1
7.95,white,11.2,0.27,0.99026,3.5,0.9,103.0,5.5
6.13,white,10.0,0.23,0.9934,3.24,5.4,149.0,6.5
5.31,white,9.6,0.16,0.9949,3.18,7.0,136.0,6.2
7.37,white,10.0,0.26,0.9952,3.58,2.0,180.0,6.4
6.75,red,9.5,0.32,0.9968,3.2,1.9,144.0,7.9
8.63,red,11.2,0.43,0.9955,3.17,2.3,19.0,8.4
6.95,red,10.0,0.03,0.9968,3.44,1.7,35.0,6.8
6.3,red,9.8,0.29,0.9972,2.93,2.0,133.0,8.6
7.15,white,11.1,0.35,0.99195,3.11,3.2,107.0,7.1
